icpsr,NAME,PARTY,STATE_NAME,LonX,LatY
21954,Katie Porter,Democrat,California,-117.671,33.706
21711,J. Luis Correa,Democrat,California,-117.896,33.791
21313,Alan S. Lowenthal,Democrat,California,-118.313,33.421
22152,Michelle Steel,Republican,California,-117.887,33.643
21939,Mike Levin,Democrat,California,-117.389,33.317
20107,Darrell Issa,Republican,California,-116.618,33.115
21314,Juan Vargas,Democrat,California,-115.516,32.995
21315,Scott H. Peters,Democrat,California,-117.117,32.903
22126,Sara Jacobs,Democrat,California,-117.032,32.719
29710,Diana DeGette,Democrat,Colorado,-104.908,39.732
21948,Joe Neguse,Democrat,Colorado,-105.73,40.145
22103,Lauren Boebert,Republican,Colorado,-107.238,38.78
21510,Ken Buck,Republican,Colorado,-103.375,39.062
20704,Doug Lamborn,Republican,Colorado,-105.338,38.822
21912,Jason A. Crow,Democrat,Colorado,-104.74,39.775
20705,Ed Perlmutter,Democrat,Colorado,-105.041,39.827
29908,John B. Larson,Democrat,Connecticut,-72.801,41.811
20706,Joe Courtney,Democrat,Connecticut,-72.205,41.664
29109,Rosa L. DeLauro,Democrat,Connecticut,-72.878,41.385
20907,James A. Himes,Democrat,Connecticut,-73.375,41.22
21931,Jahana Hayes,Democrat,Connecticut,-73.219,41.691
21993,Eleanor Holmes Norton,Democrat,District of Columbia,-77.015,38.91
21706,Lisa Blunt Rochester,Democrat,Delaware,-75.507,38.992
21719,Matt Gaetz,Republican,Florida,-86.645,30.716
21714,Neil P. Dunn,Republican,Florida,-84.13,30.078
22107,Kat Cammack,Republican,Florida,-82.059,29.678
21744,John H. Rutherford,Republican,Florida,-81.655,30.357
21732,"Al Lawson, Jr.",Democrat,Florida,-83.327,30.449
21981,Mike Waltz,Republican,Florida,-81.301,29.179
21738,Stephanie N. Murphy,Democrat,Florida,-81.245,28.688
20909,Bill Posey,Republican,Florida,-80.743,28.129
21746,Darren Soto,Democrat,Florida,-81.285,28.035
21713,Val Butler Demings,Democrat,Florida,-81.511,28.544
21116,Daniel Webster,Republican,Florida,-82.167,28.791
20758,Gus M. Bilirakis,Republican,Florida,-82.431,28.281
21712,,Vacant,Florida,-82.722,27.85
20708,Kathy Castor,Democrat,Florida,-82.478,28.041
22116,Scott Franklin,Republican,Florida,-81.977,28.199
20709,Vern Buchanan,Republican,Florida,-82.301,27.527
21971,W. Gregory Steube,Republican,Florida,-81.528,27.244
21735,Brian J. Mast,Republican,Florida,-80.415,27.127
22111,Byron Donalds,Republican,Florida,-81.83,26.464
29337,Sheila Cherfilus-McCormick,Democrat,Florida,-80.58,26.448
21321,Lois Frankel,Democrat,Florida,-80.167,26.546
20959,,Vacant,Florida,-80.166,26.277
20504,Debbie Wasserman Schultz,Democrat,Florida,-80.289,26.064
21118,Frederica S. Wilson,Democrat,Florida,-80.216,25.911
20316,Mario Diaz-Balart,Republican,Florida,-81.157,26.226
22118,Carlos Gimenez,Republican,Florida,-80.817,25.452
22150,Maria Elvira Salazar,Republican,Florida,-80.286,25.699
21513,Earl L. “Buddy” Carter,Republican,Georgia,-81.991,31.308
29339,Sanford D. Bishop Jr.,Democrat,Georgia,-84.411,31.821
21717,A. Drew Ferguson IV,Republican,Georgia,-84.733,33.148
20712,Henry C. “Hank” Johnson Jr.,Democrat,Georgia,-84.05,33.697
22156,Nikema Williams,Democrat,Georgia,-84.401,33.707
21944,Lucy McBath,Democrat,Georgia,-84.345,34.01
22104,Carolyn Bourdeaux,Democrat,Georgia,-84.083,34.042
21123,Austin Scott,Republican,Georgia,-83.453,31.78
22110,Andrew Clyde,Republican,Georgia,-83.687,34.506
21514,Jody B. Hice,Republican,Georgia,-83.062,33.427
21515,Barry Loudermilk,Republican,Georgia,-84.651,34.191
21516,Rick W. Allen,Republican,Georgia,-82.221,32.411
20321,David Scott,Democrat,Georgia,-84.564,33.626
